############################ MICRO SIMULATION INFORMATION ##################################
No		F11		F12		F21		F22		Energy
292;	1.073443617370;	-0.089134305089;	0.019078381998;	0.829050250168;	Penetrable-detFmicro
293;	0.997667703243;	-0.102697972567;	-0.160887058256;	1.195513655297;	71.619242093378
294;	1.028421614629;	0.116906106906;	-0.014452996994;	0.942447609483;	7.414864455835
295;	0.800683892451;	-0.152977813781;	-0.164611438689;	1.129496585517;	Penetrable-detFmicro
296;	0.829888274205;	-0.035986888645;	0.035055736889;	0.908478358450;	Penetrable-detFmicro
297;	0.884145198926;	0.108220692273;	0.026643428459;	1.137471603184;	32.546094052999
298;	1.122067292965;	-0.069254231113;	0.123304168929;	1.028096610861;	35.077203929149
299;	1.053004211905;	0.109236064115;	-0.101512623123;	0.913283477252;	9.370018287745
300;	1.096819766781;	-0.191965303415;	0.194478911835;	1.056690292870;	44.166947486103
301;	1.013362397816;	-0.031543175044;	-0.186738656193;	1.143741684527;	48.508660312190
302;	0.992754651991;	-0.055325994372;	-0.071421581791;	1.169877563695;	45.986854231076
303;	0.847733905149;	-0.078401764734;	0.077946136195;	0.804369568793;	Penetrable-detFmicro
304;	0.801715575602;	0.021791007949;	-0.073382961092;	0.809085497884;	Penetrable-detFmicro
305;	0.987050311262;	-0.175362577196;	-0.145889543230;	0.965413858104;	40.003100509999
306;	1.032187488734;	0.115121861766;	-0.135032895951;	1.001497942502;	3.726221393306
307;	0.831772003492;	-0.134187734291;	0.012117404846;	1.072507749422;	49.458020203669
308;	1.057519316938;	-0.145910401062;	-0.161134717523;	0.934961037972;	36.896486538519
309;	1.167999739266;	-0.197328853215;	-0.027685814894;	1.049712631068;	74.240276589752
